Datetime,Price,Quantity
2024-12-06 09:38:26.205,98283.4,0.147
2024-12-06 09:38:26.415,98283.4,0.002
2024-12-06 09:38:26.541,98283.4,0.45
2024-12-06 09:38:27.073,98283.5,0.057
2024-12-06 09:38:27.541,98283.4,0.025
2024-12-06 09:38:27.931,98283.5,0.011
2024-12-06 09:38:28.111,98283.5,0.017
2024-12-06 09:38:28.559,98283.5,0.001
2024-12-06 09:38:28.578,98283.4,0.012
2024-12-06 09:38:29.059,98283.5,0.001
2024-12-06 09:38:29.164,98283.5,0.005
2024-12-06 09:38:29.479,98283.4,0.265
2024-12-06 09:38:29.609,98283.4,0.054
2024-12-06 09:38:30.334,98283.5,0.022
2024-12-06 09:38:30.814,98283.4,0.003
2024-12-06 09:38:31.005,98283.4,0.008
2024-12-06 09:38:31.111,98283.4,0.21
2024-12-06 09:38:31.860,98283.4,0.032
2024-12-06 09:38:31.980,98283.5,0.03
2024-12-06 09:38:32.306,98283.5,0.036
2024-12-06 09:38:32.440,98283.5,0.001
2024-12-06 09:38:32.560,98283.5,0.013
2024-12-06 09:38:32.637,98283.4,0.003
2024-12-06 09:38:32.799,98283.4,0.007
2024-12-06 09:38:32.994,98283.4,0.002
2024-12-06 09:38:33.129,98283.4,0.028
2024-12-06 09:38:33.530,98283.5,0.052
2024-12-06 09:38:33.842,98283.5,0.043
2024-12-06 09:38:34.069,98283.5,0.037
2024-12-06 09:38:34.277,98283.5,0.135
2024-12-06 09:38:34.398,98283.4,0.007
2024-12-06 09:38:34.739,98283.4,0.003
2024-12-06 09:38:35.031,98283.5,6.152
2024-12-06 09:38:35.037,98283.6,0.002
2024-12-06 09:38:35.037,98284.0,0.005
2024-12-06 09:38:35.037,98284.2,0.269
2024-12-06 09:38:35.038,98285.8,0.015
2024-12-06 09:38:35.038,98286.4,0.005
2024-12-06 09:38:35.038,98286.6,0.024
2024-12-06 09:38:35.039,98286.7,0.007
2024-12-06 09:38:35.039,98286.8,0.011
2024-12-06 09:38:35.039,98286.9,0.014
2024-12-06 09:38:35.039,98287.0,0.609
2024-12-06 09:38:35.040,98287.3,0.007
2024-12-06 09:38:35.040,98287.4,0.007
2024-12-06 09:38:35.040,98287.6,0.005
2024-12-06 09:38:35.040,98287.7,1.014
2024-12-06 09:38:35.042,98288.0,0.011
2024-12-06 09:38:35.042,98288.4,0.006
2024-12-06 09:38:35.042,98288.5,0.007
2024-12-06 09:38:35.044,98288.8,0.02
2024-12-06 09:38:35.046,98288.9,0.006
2024-12-06 09:38:35.047,98289.4,0.005
2024-12-06 09:38:35.047,98290.0,0.007
2024-12-06 09:38:35.060,98290.5,0.002
2024-12-06 09:38:35.069,98290.6,0.007
2024-12-06 09:38:35.078,98291.2,0.005
2024-12-06 09:38:35.099,98291.4,0.1
2024-12-06 09:38:35.145,98291.5,0.011
2024-12-06 09:38:35.259,98291.4,0.485
2024-12-06 09:38:35.621,98291.4,0.059
2024-12-06 09:38:35.999,98291.5,0.07
2024-12-06 09:38:36.717,98291.5,0.05
2024-12-06 09:38:36.874,98291.5,0.002
2024-12-06 09:38:36.910,98291.4,0.072
2024-12-06 09:38:36.945,98291.5,0.128
2024-12-06 09:38:37.156,98291.5,0.093
2024-12-06 09:38:37.298,98291.5,0.038
2024-12-06 09:38:37.366,98291.4,5.0
2024-12-06 09:38:37.587,98291.5,0.022
2024-12-06 09:38:37.598,98291.4,0.006
2024-12-06 09:38:38.270,98291.4,0.025
2024-12-06 09:38:38.401,98291.4,0.006
2024-12-06 09:40:06.962,98230.0,2.643
2024-12-06 09:40:11.770,98200.2,3.015
2024-12-06 09:40:12.228,98200.2,1.311
Sell,2024-12-06 09:46:12.268,3.324,98424.9
Buy,2024-12-06 09:48:08.596,4.149,98301.8
Buy,2024-12-06 09:48:08.697,1.824,98301.8
Sell,2024-12-06 09:48:09.356,1.071,98316.0
Sell,2024-12-06 09:48:12.348,4.593,98343.9
Buy,2024-12-06 09:48:22.247,1.23,98333.6
Buy,2024-12-06 18:06:47.823,1.193,101227.0
Sell,2024-12-06 18:06:48.537,1.533,101232.9
Sell,2024-12-06 18:06:50.219,2.994,101237.9
Sell,2024-12-06 18:06:52.386,1.068,101227.7
Sell,2024-12-06 18:06:53.626,3.513,101227.7
Sell,2024-12-06 18:06:53.659,1.414,101218.0
Sell,2024-12-06 18:06:53.660,1.582,101212.7
Buy,2024-12-06 18:06:54.738,3.005,101208.4
Buy,2024-12-06 18:06:54.779,1.216,101221.3
Buy,2024-12-06 18:06:54.779,1.4,101225.3
Buy,2024-12-06 18:06:56.201,2.26,101219.0
Buy,2024-12-06 18:06:59.611,3.837,101213.6
Buy,2024-12-06 18:07:01.669,1.286,101213.4
Buy,2024-12-06 18:07:01.688,1.711,101223.5
Buy,2024-12-06 18:07:01.694,2.042,101225.7
Buy,2024-12-06 18:07:01.696,1.383,101228.6
Buy,2024-12-06 18:07:01.925,1.285,101242.6
Buy,2024-12-06 18:07:01.995,1.14,101248.9
Buy,2024-12-06 18:07:02.044,2.794,101250.0
Buy,2024-12-06 18:07:02.055,1.717,101254.4
Sell,2024-12-06 18:07:02.622,3.996,101269.9
