Price,Quantity,Datetime,Type
101122.3,0.049,2024-12-14 01:17:19,Bid
101122.2,0.027,2024-12-14 01:17:19,Bid
101122.0,0.084,2024-12-14 01:17:19,Bid
101121.9,0.188,2024-12-14 01:17:19,Bid
101121.8,0.032,2024-12-14 01:17:19,Bid
101121.7,0.002,2024-12-14 01:17:19,Bid
101121.5,0.014,2024-12-14 01:17:19,Bid
101121.3,0.006,2024-12-14 01:17:19,Bid
101121.2,0.851,2024-12-14 01:17:19,Bid
101121.1,1.237,2024-12-14 01:17:19,Bid
101121.0,0.001,2024-12-14 01:17:19,Bid
101120.9,0.001,2024-12-14 01:17:19,Bid
101120.7,0.062,2024-12-14 01:17:19,Bid
101120.6,0.383,2024-12-14 01:17:19,Bid
101120.5,0.001,2024-12-14 01:17:19,Bid
101120.4,0.908,2024-12-14 01:17:19,Bid
101120.3,0.006,2024-12-14 01:17:19,Bid
101120.2,0.012,2024-12-14 01:17:19,Bid
101120.0,0.039,2024-12-14 01:17:19,Bid
101119.8,0.543,2024-12-14 01:17:19,Bid
101119.7,0.041,2024-12-14 01:17:19,Bid
101119.4,0.005,2024-12-14 01:17:19,Bid
101119.3,0.032,2024-12-14 01:17:19,Bid
101119.2,0.071,2024-12-14 01:17:19,Bid
101119.1,0.007,2024-12-14 01:17:19,Bid
101119.0,0.033,2024-12-14 01:17:19,Bid
101118.9,0.188,2024-12-14 01:17:19,Bid
101118.8,0.699,2024-12-14 01:17:19,Bid
101118.7,0.034,2024-12-14 01:17:19,Bid
101118.6,0.161,2024-12-14 01:17:19,Bid
101118.5,3.44,2024-12-14 01:17:19,Bid
101118.4,0.051,2024-12-14 01:17:19,Bid
101118.3,0.035,2024-12-14 01:17:19,Bid
101118.2,0.051,2024-12-14 01:17:19,Bid
101118.1,0.075,2024-12-14 01:17:19,Bid
101118.0,0.887,2024-12-14 01:17:19,Bid
101117.9,0.021,2024-12-14 01:17:19,Bid
101117.8,0.029,2024-12-14 01:17:19,Bid
101117.7,0.039,2024-12-14 01:17:19,Bid
